"Y1","Y2","CHK_ACCT","DURATION","HISTORY","NEW_CAR","USED_CAR","FURNITURE","RADIO_TV","EDUCATION","RETRAINING","SAV_ACCT","EMPLOYMENT","INSTALL_RATE","MALE_DIV","MALE_SINGLE","MALE_MAR_or_WID","CO_APPLICANT","GUARANTOR","PRESENT_RESIDENT","REAL_ESTATE","PROP_UNKN_NONE","AGE","OTHER_INSTALL","RENT","OWN_RES","NUM_CREDITS","JOB","NUM_DEPENDENTS","TELEPHONE","FOREIGN"
1169,1,0,6,4,0,0,0,1,0,0,4,4,4,0,1,0,0,0,4,1,0,67,0,0,1,2,2,1,1,0
5951,0,1,48,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,1,0,22,0,0,1,1,2,1,0,0
2096,1,3,12,4,0,0,0,0,1,0,0,3,2,0,1,0,0,0,3,1,0,49,0,0,1,1,1,2,0,0
7882,1,0,42,2,0,0,1,0,0,0,0,3,2,0,1,0,0,1,4,0,0,45,0,0,0,1,2,2,0,0
4870,0,0,24,3,1,0,0,0,0,0,0,2,3,0,1,0,0,0,4,0,1,53,0,0,0,2,2,2,0,0
9055,1,3,36,2,0,0,0,0,1,0,4,2,2,0,1,0,0,0,4,0,1,35,0,0,0,1,1,2,1,0
2835,1,3,24,2,0,0,1,0,0,0,2,4,3,0,1,0,0,0,4,0,0,53,0,0,1,1,2,1,0,0
6948,1,1,36,2,0,1,0,0,0,0,0,2,2,0,1,0,0,0,2,0,0,35,0,1,0,1,3,1,1,0
3059,1,3,12,2,0,0,0,1,0,0,3,3,2,1,0,0,0,0,4,1,0,61,0,0,1,1,1,1,0,0
5234,0,1,30,4,1,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,28,0,0,1,2,3,1,0,0
1295,0,1,12,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,25,0,1,0,1,2,1,0,0
4308,0,0,48,2,0,0,0,0,0,1,0,1,3,0,0,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0
1567,1,1,12,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,22,0,0,1,1,2,1,1,0
1199,0,0,24,4,1,0,0,0,0,0,0,4,4,0,1,0,0,0,4,0,0,60,0,0,1,2,1,1,0,0
1403,1,0,15,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,28,0,1,0,1,2,1,0,0
1282,0,0,24,2,0,0,0,1,0,0,1,2,4,0,0,0,0,0,2,0,0,32,0,0,1,1,1,1,0,0
2424,1,3,24,4,0,0,0,1,0,0,4,4,4,0,1,0,0,0,4,0,0,53,0,0,1,2,2,1,0,0
8072,1,0,30,0,0,0,0,0,0,1,4,1,2,0,1,0,0,0,3,0,0,25,1,0,1,3,2,1,0,0
12579,0,1,24,2,0,1,0,0,0,0,0,4,4,0,0,0,0,0,2,0,1,44,0,0,0,1,3,1,1,0
3430,1,3,24,2,0,0,0,1,0,0,2,4,3,0,1,0,0,0,2,0,0,31,0,0,1,1,2,2,1,0
2134,1,3,9,4,1,0,0,0,0,0,0,2,4,0,1,0,0,0,4,0,0,48,0,0,1,3,2,1,1,0
2647,1,0,6,2,0,0,0,1,0,0,2,2,2,0,1,0,0,0,3,1,0,44,0,1,0,1,2,2,0,0
2241,1,0,10,4,1,0,0,0,0,0,0,1,1,0,1,0,0,0,3,1,0,48,0,1,0,2,1,2,0,1
1804,1,1,12,4,0,1,0,0,0,0,1,1,3,0,1,0,0,0,4,0,0,44,0,0,1,1,2,1,0,0
2069,1,3,10,4,0,0,1,0,0,0,4,2,2,0,0,1,0,0,1,0,0,26,0,0,1,2,2,1,0,1
1374,1,0,6,2,0,0,1,0,0,0,0,2,1,0,1,0,0,0,2,1,0,36,1,0,1,1,1,1,1,0
426,1,3,6,0,0,0,0,1,0,0,0,4,4,0,0,1,0,0,4,0,0,39,0,0,1,1,1,1,0,0
409,1,2,12,1,0,0,0,1,0,0,3,2,3,0,0,0,0,0,3,1,0,42,0,1,0,2,2,1,0,0
2415,1,1,7,2,0,0,0,1,0,0,0,2,3,0,1,0,0,1,2,1,0,34,0,0,1,1,2,1,0,0
6836,0,0,60,3,0,0,0,0,0,1,0,4,3,0,1,0,0,0,4,0,1,63,0,0,1,2,2,1,1,0
1913,1,1,18,2,0,0,0,0,0,1,3,1,3,0,0,1,0,0,3,1,0,36,1,0,1,1,2,1,1,0
4020,1,0,24,2,0,0,1,0,0,0,0,2,2,0,1,0,0,0,2,0,0,27,1,0,1,1,2,1,0,0
5866,1,1,18,2,1,0,0,0,0,0,1,2,2,0,1,0,0,0,2,0,0,30,0,0,1,2,2,1,1,0
1264,1,3,12,4,0,0,0,0,0,1,4,4,4,0,1,0,0,0,4,0,1,57,0,1,0,1,1,1,0,0
1474,1,2,12,2,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,33,1,0,1,1,3,1,1,0
4746,0,1,45,4,0,0,0,1,0,0,0,1,4,0,1,0,0,0,2,0,0,25,0,0,1,2,1,1,0,0
6110,1,3,48,4,0,0,0,0,1,0,0,2,1,0,1,0,0,0,3,0,1,31,1,0,0,1,2,1,1,0
2100,0,2,18,2,0,0,0,1,0,0,0,2,4,0,1,0,1,0,2,1,0,37,1,0,1,1,2,1,0,0
1225,1,2,10,2,0,0,0,0,0,0,0,2,2,0,1,0,0,0,2,0,0,37,0,0,1,1,2,1,1,0
458,1,1,9,2,0,0,0,1,0,0,0,2,4,0,1,0,0,0,3,1,0,24,0,0,1,1,2,1,0,0
2333,1,3,30,2,0,0,0,1,0,0,2,4,4,0,1,0,0,0,2,0,0,30,1,0,1,1,3,1,0,0
1158,1,1,12,2,0,0,0,1,0,0,2,2,3,1,0,0,0,0,1,0,0,26,0,0,1,1,2,1,1,0
6204,1,1,18,3,0,0,0,0,0,0,0,2,2,0,1,0,0,0,4,1,0,44,0,0,1,1,1,2,1,0
6187,1,0,30,4,0,1,0,0,0,0,1,3,1,0,0,1,0,0,4,0,0,24,0,1,0,2,2,1,0,0
6143,0,0,48,4,0,1,0,0,0,0,0,4,4,0,0,0,0,0,4,0,1,58,1,0,0,2,1,1,0,0
1393,1,3,11,4,1,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,35,0,0,1,2,3,1,0,0
2299,1,3,36,2,0,0,0,1,0,0,2,4,4,0,1,0,0,0,4,0,0,39,0,0,1,1,2,1,0,0
1352,1,0,6,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,23,0,1,0,1,0,1,1,0
7228,1,3,11,4,1,0,0,0,0,0,0,2,1,0,1,0,0,0,4,0,0,39,0,0,1,2,1,1,0,0
2073,1,3,12,2,0,0,0,1,0,0,1,2,4,0,0,0,1,0,2,1,0,28,0,0,1,1,2,1,0,0
2333,1,1,24,3,0,0,1,0,0,0,4,1,4,0,1,0,0,0,2,0,0,29,1,0,1,1,1,1,0,0
5965,1,1,27,3,0,1,0,0,0,0,0,4,1,0,1,0,0,0,2,0,0,30,0,0,1,2,3,1,1,0
1262,1,3,12,2,0,0,0,1,0,0,0,2,3,0,1,0,0,0,2,0,0,25,0,0,1,1,2,1,0,0
3378,1,3,18,2,0,1,0,0,0,0,4,2,2,0,1,0,0,0,1,0,0,31,0,0,1,1,2,1,1,0
2225,0,1,36,3,1,0,0,0,0,0,0,4,4,0,1,0,0,0,4,0,1,57,1,0,0,2,2,1,1,0
783,1,3,6,1,1,0,0,0,0,0,4,2,1,0,1,0,0,1,2,1,0,26,1,0,1,1,1,2,0,0
6468,0,1,12,2,0,0,0,1,0,0,4,0,2,0,1,0,0,0,1,0,1,52,0,0,1,1,3,1,1,0
9566,1,3,36,4,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,31,1,0,1,2,2,1,0,0
1961,1,2,18,2,1,0,0,0,0,0,0,4,3,0,0,0,0,0,2,0,0,23,0,0,1,1,3,1,0,0
6229,0,0,36,4,0,0,1,0,0,0,0,1,4,0,0,0,1,0,4,0,1,23,0,1,0,2,1,1,1,0
1391,1,1,9,2,0,0,0,0,0,1,0,2,2,0,0,1,0,0,1,1,0,27,1,0,1,1,2,1,1,0
1537,1,1,15,4,0,0,0,1,0,0,4,4,4,0,1,0,0,1,4,1,0,50,0,0,1,2,2,1,1,0
1953,0,1,36,0,0,0,0,0,0,1,0,4,4,0,1,0,0,0,4,0,1,61,0,0,0,1,3,1,1,0
14421,0,1,48,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,2,0,0,25,0,0,1,1,2,1,1,0
3181,1,3,24,2,0,0,0,1,0,0,0,1,4,0,0,0,0,0,4,0,0,26,0,0,1,1,2,1,1,0
5190,1,3,27,2,0,0,0,0,0,0,4,4,4,0,1,0,0,0,4,0,0,48,0,0,1,4,2,2,1,0
2171,1,3,12,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,29,1,0,1,1,2,1,0,0
1007,1,1,12,2,1,0,0,0,0,0,3,2,4,0,0,1,0,0,1,1,0,22,0,0,1,1,2,1,0,0
1819,0,3,36,2,0,0,0,0,1,0,0,2,4,0,1,0,0,0,4,0,1,37,1,0,0,1,2,1,1,0
2394,1,3,36,2,0,0,0,1,0,0,4,2,4,0,0,0,0,0,4,0,0,25,0,0,1,1,2,1,0,0
8133,1,3,36,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,30,1,0,1,1,2,1,0,0
730,1,3,7,4,0,0,0,1,0,0,4,4,4,0,1,0,0,0,2,0,0,46,0,1,0,2,1,1,1,0
1164,1,0,8,4,0,0,0,0,0,0,0,4,3,0,1,0,0,0,4,0,1,51,1,0,0,2,3,2,1,0
5954,1,1,42,4,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,1,0,41,1,0,1,2,1,1,0,0
1977,0,0,36,2,0,0,0,0,1,0,4,4,4,0,1,0,0,0,4,0,1,40,0,0,1,1,3,1,1,0
1526,1,0,12,4,0,1,0,0,0,0,0,4,4,0,1,0,0,0,4,0,1,66,0,0,0,2,3,1,0,0
3965,0,0,42,2,0,0,0,1,0,0,0,1,4,0,1,0,0,0,3,0,0,34,0,0,1,1,2,1,0,0
4771,1,1,11,3,0,0,0,1,0,0,0,3,2,0,1,0,0,0,4,0,0,51,0,0,1,1,2,1,0,0
9436,1,3,54,0,0,1,0,0,0,0,4,2,2,0,1,0,0,0,2,0,0,39,0,0,1,1,1,2,0,0
3832,1,1,30,2,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0,0,22,0,0,1,1,2,1,0,0
5943,0,3,24,2,0,0,0,1,0,0,4,1,1,0,0,0,0,0,1,0,0,44,0,0,1,2,2,1,1,0
1213,1,3,15,2,0,0,0,1,0,0,2,4,4,0,1,0,0,0,3,0,0,47,1,0,1,1,2,1,1,0
1568,1,3,18,2,0,0,0,0,0,1,1,2,3,0,0,0,0,0,4,0,0,24,0,1,0,1,1,1,0,0
1755,1,0,24,2,0,0,0,0,0,0,0,4,4,0,0,0,0,1,4,1,0,58,0,0,1,1,1,1,1,0
2315,1,0,10,2,0,0,0,1,0,0,0,4,3,0,1,0,0,0,4,1,0,52,0,0,1,1,1,1,0,0
1412,1,3,12,4,0,0,0,0,0,1,0,2,4,0,0,0,0,1,2,1,0,29,0,0,1,2,3,1,1,0
1295,1,1,18,4,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,27,0,0,1,2,2,1,0,0
12612,0,1,36,2,0,0,0,0,1,0,1,2,1,0,1,0,0,0,4,0,1,47,0,0,0,1,2,2,1,0
2249,1,0,18,2,1,0,0,0,0,0,1,3,4,0,1,0,0,0,3,0,0,30,0,0,1,1,3,2,1,0
1108,0,0,12,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,3,1,0,28,0,0,1,2,2,1,0,0
618,1,3,12,4,0,0,0,1,0,0,0,4,4,0,1,0,0,0,4,1,0,56,0,0,1,1,2,1,0,0
1409,1,0,12,4,0,1,0,0,0,0,0,4,4,0,1,0,0,0,3,1,0,54,0,0,1,1,2,1,0,0
797,0,3,12,4,0,0,0,1,0,0,4,4,4,0,0,0,0,0,3,0,0,33,1,0,1,1,1,2,0,0
3617,1,2,24,4,0,0,1,0,0,0,4,4,4,0,1,0,1,0,4,0,1,20,0,1,0,2,2,1,0,0
1318,1,1,12,2,1,0,0,0,0,0,3,4,4,0,1,0,0,0,4,1,0,54,0,0,1,1,2,1,1,0
15945,0,1,54,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,4,0,1,58,0,1,0,1,2,1,1,0
2012,1,3,12,4,0,0,0,0,1,0,4,3,4,0,0,0,0,0,2,0,0,61,0,0,1,1,2,1,0,0
