age,workclass,education,marital_status,occupation,race,sex,work_hours_per_week,native_country,income_morethan_50k
39, State-gov, Bachelors, Never-married, Adm-clerical, White, Male,40, United-States,FALSE
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,13, United-States,FALSE
38, Private, HS-grad, Divorced, Handlers-cleaners, White, Male,40, United-States,FALSE
53, Private, 11th, Married-civ-spouse, Handlers-cleaners, Black, Male,40, United-States,FALSE
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Black, Female,40, Cuba,FALSE
37, Private, Masters, Married-civ-spouse, Exec-managerial, White, Female,40, United-States,FALSE
49, Private, 9th, Married-spouse-absent, Other-service, Black, Female,16, Jamaica,FALSE
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,45, United-States,TRUE
31, Private, Masters, Never-married, Prof-specialty, White, Female,50, United-States,TRUE
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States,TRUE
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Black, Male,80, United-States,TRUE
30, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, India,TRUE
23, Private, Bachelors, Never-married, Adm-clerical, White, Female,30, United-States,FALSE
32, Private, Assoc-acdm, Never-married, Sales, Black, Male,50, United-States,FALSE
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, ?,TRUE
34, Private, 7th-8th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male,45, Mexico,FALSE
25, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male,35, United-States,FALSE
32, Private, HS-grad, Never-married, Machine-op-inspct, White, Male,40, United-States,FALSE
38, Private, 11th, Married-civ-spouse, Sales, White, Male,50, United-States,FALSE
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, White, Female,45, United-States,TRUE
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Male,60, United-States,TRUE
54, Private, HS-grad, Separated, Other-service, Black, Female,20, United-States,FALSE
